date,map,match_id,team_a,team_b,prior_maps_a,prior_maps_map_a,acs_overall_5_a,acs_map_5_a,acs_overall_10_a,acs_map_10_a,kast_overall_5_a,kast_map_5_a,kast_overall_10_a,kast_map_10_a,fk_fd_diff_overall_5_a,fk_fd_diff_map_5_a,fk_fd_diff_overall_10_a,fk_fd_diff_map_10_a,gun_rate_overall_5_a,gun_rate_map_5_a,gun_rate_overall_10_a,gun_rate_map_10_a,prior_maps_b,prior_maps_map_b,acs_overall_5_b,acs_map_5_b,acs_overall_10_b,acs_map_10_b,kast_overall_5_b,kast_map_5_b,kast_overall_10_b,kast_map_10_b,fk_fd_diff_overall_5_b,fk_fd_diff_map_5_b,fk_fd_diff_overall_10_b,fk_fd_diff_map_10_b,gun_rate_overall_5_b,gun_rate_map_5_b,gun_rate_overall_10_b,gun_rate_map_10_b,fk_fd_diff_overall_3_a,fk_fd_positive_rate_5_a,fk_fd_positive_rate_10_a,fk_fd_diff_overall_3_b,fk_fd_positive_rate_5_b,fk_fd_positive_rate_10_b,ranking_elo_sum_a,ranking_elo_sum_b,ranking_elo_trend_a,ranking_elo_trend_b,prior_maps_diff,prior_maps_map_diff,acs_overall_5_diff,acs_map_5_diff,acs_overall_10_diff,acs_map_10_diff,kast_overall_5_diff,kast_map_5_diff,kast_overall_10_diff,kast_map_10_diff,fk_fd_diff_overall_5_diff,fk_fd_diff_map_5_diff,fk_fd_diff_overall_10_diff,fk_fd_diff_map_10_diff,gun_rate_overall_5_diff,gun_rate_map_5_diff,gun_rate_overall_10_diff,gun_rate_map_10_diff,fk_fd_diff_overall_3_diff,fk_fd_positive_rate_5_diff,fk_fd_positive_rate_10_diff,ranking_elo_sum_diff,ranking_elo_trend_diff,target
2023-03-28,Pearl,173216_g117167,FUT Esports,Team Heretics,1,0,235.2,,235.2,,78.2,,78.2,,8.0,,8.0,,0.273,,0.273,,1,0,198.8,,198.8,,64.6,,64.6,,-8.0,,-8.0,,0.227,,0.227,,8.0,1.0,1.0,-8.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0,0,36.4,,36.4,,13.6,,13.6,,16.0,,16.0,,0.045,,0.045,,16.0,1.0,1.0,-0.0,-0.0,1
2023-03-29,Pearl,173218_g117175,Natus Vincere,Giants Gaming,2,0,187.7,,187.7,,71.6,,71.6,,-3.0,,-3.0,,0.246,,0.246,,2,0,178.8,,178.8,,65.7,,65.7,,-3.0,,-3.0,,0.229,,0.229,,-3.0,0.0,0.0,-3.0,0.0,0.0,4906.236,4973.613,-13.548,-54.669,0,0,8.9,,8.9,,5.9,,5.9,,0.0,,0.0,,0.017,,0.017,,0.0,0.0,0.0,-67.377,41.121,1
2023-03-29,Icebox,173219_g117176,Karmine Corp,BBL Esports,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,1
2023-03-29,Split,173219_g117177,Karmine Corp,BBL Esports,1,0,213.2,,213.2,,68.8,,68.8,,8.0,,8.0,,0.25,,0.25,,1,0,190.6,,190.6,,66.2,,66.2,,-8.0,,-8.0,,0.306,,0.306,,8.0,1.0,1.0,-8.0,0.0,0.0,5040.0,4990.0,0.0,0.0,0,0,22.6,,22.6,,2.6,,2.6,,16.0,,16.0,,-0.056,,-0.056,,16.0,1.0,1.0,50.0,0.0,1
2023-03-29,Icebox,173218_g117173,Natus Vincere,Giants Gaming,3,0,196.0,,196.0,,74.4,,74.4,,-1.333,,-1.333,,0.247,,0.247,,3,1,176.6,182.0,176.6,182.0,63.467,62.8,63.467,62.8,-2.667,-4.0,-2.667,-4.0,0.253,0.125,0.253,0.125,-1.333,0.333,0.333,-2.667,0.0,0.0,4934.177,4928.474,-46.882,-13.194,0,-1,19.4,,19.4,,10.933,,10.933,,1.333,,1.333,,-0.005,,-0.005,,1.333,0.333,0.333,5.703,-33.689,0
2023-03-29,Split,173218_g117174,Giants Gaming,Natus Vincere,4,1,187.35,175.6,187.35,175.6,66.85,68.6,66.85,68.6,-1.5,-2.0,-1.5,-2.0,0.283,0.333,0.283,0.333,4,0,197.0,,197.0,,73.6,,73.6,,-1.5,,-1.5,,0.279,,0.279,,-0.667,0.25,0.25,-1.333,0.25,0.25,4946.191,4916.236,-18.63,-27.768,0,1,-9.65,,-9.65,,-6.75,,-6.75,,-0.0,,-0.0,,0.004,,0.004,,0.667,-0.0,-0.0,29.956,9.139,0
2023-03-30,Split,173220_g117180,Team Liquid,FUT Esports,3,0,196.533,,196.533,,74.133,,74.133,,5.0,,5.0,,0.319,,0.319,,2,0,233.9,,233.9,,80.1,,80.1,,5.5,,5.5,,0.313,,0.313,,5.0,0.667,0.667,5.5,1.0,1.0,5055.455,5080.307,7.232,-90.0,1,0,-37.367,,-37.367,,-5.967,,-5.967,,-0.5,,-0.5,,0.007,,0.007,,-0.5,-0.333,-0.333,-24.852,97.232,1
2023-03-30,Ascent,173220_g117181,FUT Esports,Team Liquid,3,0,214.733,,214.733,,73.0,,73.0,,2.667,,2.667,,0.226,,0.226,,4,0,206.2,,206.2,,76.35,,76.35,,4.5,,4.5,,0.332,,0.332,,2.667,0.667,0.667,2.333,0.75,0.75,5037.698,5110.268,-4.846,29.53,-1,0,8.533,,8.533,,-3.35,,-3.35,,-1.833,,-1.833,,-0.106,,-0.106,,0.333,-0.083,-0.083,-72.57,-34.376,0
2023-03-30,Split,173221_g117182,Team Vitality,KOI,3,0,177.533,,177.533,,63.533,,63.533,,-5.0,,-5.0,,0.272,,0.272,,2,0,210.3,,210.3,,73.1,,73.1,,3.0,,3.0,,0.396,,0.396,,-5.0,0.333,0.333,3.0,1.0,1.0,4959.352,5040.0,-4.676,-0.0,1,0,-32.767,,-32.767,,-9.567,,-9.567,,-8.0,,-8.0,,-0.124,,-0.124,,-8.0,-0.667,-0.667,-80.648,-4.676,1
2023-03-30,Lotus,173220_g117179,Team Liquid,FUT Esports,5,1,211.56,206.6,211.56,206.6,77.24,77.4,77.24,77.4,4.2,11.0,4.2,11.0,0.307,0.348,0.307,0.348,4,1,207.6,235.2,207.6,235.2,72.4,78.2,72.4,78.2,1.25,8.0,1.25,8.0,0.235,0.273,0.235,0.273,1.0,0.8,0.8,-1.0,0.5,0.5,5035.455,5140.307,39.046,-7.66,1,0,3.96,-28.6,3.96,-28.6,4.84,-0.8,4.84,-0.8,2.95,3.0,2.95,3.0,0.072,0.075,0.072,0.075,2.0,0.3,0.3,-104.852,46.706,0
